ENTREZID,Uniprot.ID,Gene.name,testi,SYMBOL,ENSEMBL,name,version,wpid,org,ENTREZID.1,Uniprot.ID.1,Gene.name.1,testi.1,SYMBOL.1,ENSEMBL.1,name.1,version.1,wpid.1
120227,NA,NA,NA,NA,NA,Vitamin D metabolism,WikiPathways_20210910,WP1531,Homo sapiens,120227,NA,NA,NA,NA,NA,Vitamin D metabolism,WikiPathways_20210910,WP1531
1591,Q07973,CYP24A1,NA,CYP24A1,ENSG00000019186,Vitamin D metabolism,WikiPathways_20210910,WP1531,Homo sapiens,1591,Q07973,CYP24A1,NA,CYP24A1,ENSG00000019186,Vitamin D metabolism,WikiPathways_20210910,WP1531
1593,Q02318,CYP27A1,0.12070551565827393,CYP27A1,ENSG00000135929,Vitamin D metabolism,WikiPathways_20210910,WP1531,Homo sapiens,1593,Q02318,CYP27A1,0.11146415158665395,CYP27A1,ENSG00000135929,Vitamin D metabolism,WikiPathways_20210910,WP1531
1594,O15528,CYP27B1,NA,CYP27B1,ENSG00000111012,Vitamin D metabolism,WikiPathways_20210910,WP1531,Homo sapiens,1594,O15528,CYP27B1,NA,CYP27B1,ENSG00000111012,Vitamin D metabolism,WikiPathways_20210910,WP1531
1717,Q9UBM7,DHCR7,0.39480177716271103,DHCR7,ENSG00000172893,Vitamin D metabolism,WikiPathways_20210910,WP1531,Homo sapiens,1717,Q9UBM7,DHCR7,0.5665081992446233,DHCR7,ENSG00000172893,Vitamin D metabolism,WikiPathways_20210910,WP1531
2638,P02774,GC,0.24919835739111287,GC,ENSG00000145321,Vitamin D metabolism,WikiPathways_20210910,WP1531,Homo sapiens,2638,P02774,GC,0.5296869537729164,GC,ENSG00000145321,Vitamin D metabolism,WikiPathways_20210910,WP1531
5741,NA,NA,NA,NA,NA,Vitamin D metabolism,WikiPathways_20210910,WP1531,Homo sapiens,5741,NA,NA,NA,NA,NA,Vitamin D metabolism,WikiPathways_20210910,WP1531
6256,P19793,RXRA,0.2690924557404304,RXRA,ENSG00000186350,Vitamin D metabolism,WikiPathways_20210910,WP1531,Homo sapiens,6256,P19793,RXRA,0.27081853307892007,RXRA,ENSG00000186350,Vitamin D metabolism,WikiPathways_20210910,WP1531
6257,P28702,RXRB,NA,RXRB,ENSG00000204231,Vitamin D metabolism,WikiPathways_20210910,WP1531,Homo sapiens,6257,P28702,RXRB,NA,RXRB,ENSG00000204231,Vitamin D metabolism,WikiPathways_20210910,WP1531
7421,P11473,VDR,NA,VDR,ENSG00000111424,Vitamin D metabolism,WikiPathways_20210910,WP1531,Homo sapiens,7421,P11473,VDR,NA,VDR,ENSG00000111424,Vitamin D metabolism,WikiPathways_20210910,WP1531
